# Constructed from biom file
#OTU ID	SRR15093004	SRR15093005	SRR15093006	SRR15093007	SRR15093008	SRR15093009	SRR15093010	SRR15093011	SRR15093012	SRR15093013	SRR15093014
PRPP-PWY	16249.036413338163	13636.719697207283	13314.858598751181	11205.102733580514	11190.517163668872	13888.499149390589	16591.19986415047	19105.21337675905	16937.707000822993	15021.668952129708	16556.472580229278
PWY-1269	32373.994173534466	23376.33494270647	30508.387275684046	20313.593238003377	20844.599793229852	26645.866272587624	28601.429767752918	34603.12924685748	28616.682859153534	16162.19097596127	30376.605122283327
PWY-1361	358.250766950834	386.74743142808376	286.55959311839996	42.4778292449454	157.42091205303026	83.14810967525294	0.0	72.68174982232077	104.69414740129778	1065.580710979655	812.8169571346087
PWY-1422	0.0	0.0	5.33279747167071	3.3625163051526497	0.0	131.28486194389416	12.595659128380541	29.31014568495755	0.0	162.96085429550942	38.045167586421556
PWY-1501	899.6752409941479	1061.8996637951302	684.054285060358	297.3484963340782	386.5892736892645	527.5947610622405	273.39342256086496	575.0012439174754	523.9420312423459	1235.3311105064042	1669.2622328993073
PWY-1541	0.0	0.0	0.0	0.0	0.0	0.0	6.995703821836299	4.7131632636644545	0.0	0.0	63.93623830979741
PWY-1622	2219.5503106768665	2007.2743301419996	2600.7665885405304	1317.8102639096116	2384.8352997755205	2540.2233184658317	4454.714592628203	4750.866432645604	1362.7452067594006	3580.191463522916	5355.039393728364
PWY-181	15466.036128246993	13852.893311199483	15010.820335373677	8690.710340262654	13201.622951082281	14500.162041238951	16153.069977538988	21730.612861786474	14684.530122233482	16424.7616822814	17597.826554506188
PWY-1861	980.7841003150897	727.3696439156515	554.6376581042587	1315.4980650867265	262.51101685058524	984.8404204983356	1335.946052490902	338.3979471617773	854.3137120729226	1035.2798472971376	11589.863673239382
PWY-1882	788.7362626993884	560.0989689292484	893.9792038647969	931.677610440498	579.4365866902318	823.7161449616264	947.6791958201796	1332.6227650339104	506.785776516822	1412.540353162139	3413.2432462480083
PWY-2221	0.0	26.978983651969386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PWY-2941	75.90647254347242	7.998623461540277	31.981496827836345	0.0	43.9523017859341	0.0	0.0	0.0	51.948983376253366	151.33471972946933	2327.190454273027
PWY-2942	46737.200175986654	35383.45258597152	41715.69378166918	29758.182657780086	30805.457551021555	37225.323706271134	39079.530748342084	49283.8125314736	40075.393383657305	25677.439437292483	66459.76624390368
PWY-3001	49680.442747052235	37753.351579163274	44974.654385146	31745.48752571975	34450.94578465499	40444.9573827702	42790.95015125191	53864.234260715115	43330.520473017576	28811.714927539673	69722.2229363907
PWY-3081	0.0	0.0	0.0	0.0	0.0	0.0	44.24438154982996	14.929641534289853	0.0	0.0	0.0
